,Date,PM_Concentration
1,1/1/2020,0.8
2,1/2/2020,1.2
3,1/3/2020,1.1
4,1/4/2020,1.3
5,1/5/2020,1.4
6,1/6/2020,0.4
7,1/7/2020,0.9
8,1/8/2020,0.8
9,1/9/2020,2.9
10,1/10/2020,2
11,1/11/2020,1
12,1/12/2020,0.8
13,1/13/2020,1.4
14,1/14/2020,2.5
15,1/15/2020,1.4
16,1/16/2020,1.9
17,1/17/2020,3.3
18,1/18/2020,1.1
19,1/19/2020,1.2
20,1/20/2020,1.2
21,1/21/2020,1.4
22,1/22/2020,0.9
23,1/23/2020,0.9
24,1/24/2020,1.2
25,1/25/2020,1.6
26,1/26/2020,2
27,1/27/2020,1.2
28,1/28/2020,1.2
29,1/29/2020,1.7
30,1/30/2020,1.7
31,1/31/2020,1.1
32,2/1/2020,1.1
33,2/2/2020,2
34,2/3/2020,1.9
35,2/4/2020,2
36,2/5/2020,1.5
37,2/6/2020,1.1
38,2/7/2020,1.3
39,2/8/2020,1.6
40,2/9/2020,2
41,2/10/2020,2
42,2/11/2020,2.2
43,2/12/2020,1.8
44,2/13/2020,1.5
45,2/14/2020,0.9
46,2/15/2020,1.1
47,2/16/2020,1.2
48,2/17/2020,1.6
49,2/18/2020,2.3
50,2/19/2020,1.6
51,2/20/2020,1.7
52,2/21/2020,2.5
53,2/22/2020,3.1
54,2/23/2020,2.7
55,2/24/2020,2
56,2/25/2020,2.7
57,2/26/2020,2.5
58,2/27/2020,2.5
59,2/28/2020,1.8
60,2/29/2020,1.2
61,3/1/2020,1.7
62,3/2/2020,1.5
63,3/3/2020,1.2
64,3/4/2020,1.6
65,3/5/2020,2.6
66,3/6/2020,3.6
67,3/7/2020,2.7
68,3/8/2020,1.6
69,3/9/2020,2.2
70,3/10/2020,3.2
71,3/11/2020,1.7
72,3/12/2020,1.9
73,3/13/2020,2.3
74,3/14/2020,3.1
75,3/15/2020,3.9
76,3/16/2020,4.4
77,3/17/2020,4.7
78,3/18/2020,5.4
79,3/19/2020,5.2
80,3/20/2020,4.9
81,3/21/2020,5
82,3/22/2020,3.2
83,3/23/2020,2.2
84,3/24/2020,1.5
85,3/25/2020,1.8
86,3/26/2020,2.3
87,3/27/2020,3.6
88,3/28/2020,1.9
89,3/29/2020,1.2
90,3/30/2020,0.8
91,3/31/2020,0.8
92,4/1/2020,1.3
93,4/2/2020,1.8
94,4/3/2020,1.4
95,4/4/2020,1.3
96,4/5/2020,1.6
97,4/6/2020,2
98,4/7/2020,3
99,4/8/2020,3.8
100,4/9/2020,3.6
101,4/10/2020,2.8
102,4/11/2020,2.2
103,4/12/2020,2.3
104,4/13/2020,2.9
105,4/14/2020,2.4
106,4/15/2020,1.7
107,4/16/2020,1.8
108,4/17/2020,2.8
109,4/18/2020,2.7
110,4/19/2020,2
111,4/20/2020,2.8
112,4/21/2020,2.6
113,4/22/2020,2
114,4/23/2020,1.2
115,4/24/2020,1.5
116,4/25/2020,1.8
117,4/26/2020,2.2
118,4/27/2020,2.2
119,4/28/2020,2
120,4/29/2020,2
121,4/30/2020,1.5
122,5/1/2020,2.2
123,5/2/2020,2.5
124,5/3/2020,1.1
125,5/4/2020,1.7
126,5/5/2020,2.2
127,5/6/2020,1.5
128,5/7/2020,1.2
129,5/8/2020,1.8
130,5/9/2020,2
131,5/10/2020,2
132,5/11/2020,2.4
133,5/12/2020,1.9
134,5/13/2020,0.5
135,5/14/2020,0.8
136,5/15/2020,1.3
137,5/16/2020,1.4
138,5/17/2020,1.1
139,5/18/2020,1.7
140,5/19/2020,1.8
141,5/20/2020,0.8
142,5/21/2020,0.9
143,5/22/2020,0.7
144,5/23/2020,1.2
145,5/24/2020,1.5
146,5/25/2020,2.1
147,5/26/2020,1.4
148,5/27/2020,1.8
149,5/28/2020,2.7
150,5/29/2020,3.6
151,5/30/2020,3.8
152,5/31/2020,0.9
153,6/1/2020,1.7
154,6/2/2020,2.1
155,6/3/2020,1.4
156,6/4/2020,2.2
157,6/5/2020,2.7
158,6/6/2020,2.2
159,6/7/2020,0.7
160,6/8/2020,1.2
161,6/9/2020,1.5
162,6/10/2020,1.5
163,6/11/2020,2.5
164,6/12/2020,2.9
165,6/13/2020,0.9
166,6/14/2020,0.5
167,6/15/2020,1.1
168,6/16/2020,0.9
169,6/17/2020,1.1
170,6/18/2020,2
171,6/19/2020,2.6
172,6/20/2020,2.9
173,6/21/2020,1.1
174,6/22/2020,1.7
175,6/23/2020,2.2
176,6/24/2020,2.5
177,6/25/2020,2.1
178,6/26/2020,2.9
179,6/27/2020,1.8
180,6/28/2020,0.9
181,6/29/2020,1.5
182,6/30/2020,1.8
183,7/1/2020,0.8
184,7/2/2020,1.3
185,7/3/2020,5.7
186,7/4/2020,6
187,7/5/2020,5
188,7/6/2020,4.4
189,7/7/2020,2.3
190,7/8/2020,1.9
191,7/9/2020,2.6
192,7/10/2020,2.1
193,7/11/2020,2.9
194,7/12/2020,2
195,7/13/2020,2.3
196,7/14/2020,2.2
197,7/15/2020,2.8
198,7/16/2020,2.9
199,7/17/2020,2.3
200,7/18/2020,2.6
201,7/19/2020,2.9
202,7/20/2020,3.5
203,7/21/2020,3.9
204,7/22/2020,3.1
205,7/23/2020,1.8
206,7/24/2020,1.8
207,7/25/2020,2.6
208,7/26/2020,2.9
209,7/27/2020,3.6
210,7/28/2020,5.5
211,7/29/2020,5.7
212,7/30/2020,6.9
213,7/31/2020,8.2
214,8/1/2020,4.6
215,8/2/2020,3.4
216,8/3/2020,2.3
217,8/4/2020,4.5
218,8/5/2020,5.1
219,8/6/2020,3.7
220,8/7/2020,2.6
221,8/8/2020,2.7
222,8/9/2020,2.1
223,8/10/2020,3.4
224,8/11/2020,3.6
225,8/12/2020,3.1
226,8/13/2020,6.4
227,8/14/2020,7.1
228,8/15/2020,4.7
229,8/16/2020,3.9
230,8/17/2020,5.5
231,8/18/2020,5.2
232,8/19/2020,5.6
233,8/20/2020,5
234,8/21/2020,5.8
235,8/22/2020,2
236,8/23/2020,5
237,8/24/2020,9.8
238,8/25/2020,17.3
239,8/26/2020,12.4
240,8/27/2020,4.7
241,8/28/2020,6.3
242,8/29/2020,6.4
243,8/30/2020,2.1
244,8/31/2020,1.9
245,9/1/2020,3.8
246,9/2/2020,8.7
247,9/3/2020,3.2
248,9/4/2020,6.1
249,9/5/2020,8.4
250,9/6/2020,8.7
251,9/7/2020,2.6
252,9/8/2020,2.4
253,9/9/2020,3.9
254,9/10/2020,10.2
255,9/11/2020,16.2
263,9/19/2020,12.2
264,9/20/2020,4.7
265,9/21/2020,8.2
266,9/22/2020,9
267,9/23/2020,12.5
268,9/24/2020,1.5
269,9/25/2020,2.1
270,9/26/2020,1.2
271,9/27/2020,1.6
272,9/28/2020,1.8
273,9/29/2020,5
274,9/30/2020,7.2
275,10/1/2020,4.8
276,10/2/2020,6.8
277,10/3/2020,10.7
278,10/4/2020,8.3
279,10/5/2020,7.2
280,10/6/2020,8.5
281,10/7/2020,5.9
282,10/8/2020,9
283,10/9/2020,7.2
284,10/10/2020,7.4
285,10/11/2020,1.2
286,10/12/2020,1.2
287,10/13/2020,1.9
288,10/14/2020,2
289,10/15/2020,2.5
290,10/16/2020,1.9
291,10/17/2020,1.8
292,10/18/2020,2.5
293,10/19/2020,1.3
294,10/20/2020,2.3
295,10/21/2020,3
296,10/22/2020,6.9
297,10/23/2020,6.1
